"firm";"phone";"email";"title";"text";"domain"
"ЖК Новый Зеленоград";"+7 (495) 104-57-47";"sale@newzelenograd.ru";"Все застройщики Москвы и области / novostroy-m.ru";"Проверенные новостройки. Прямые продажи от 1,7 млн. Аэросъемка и видео-обзоры.Проектная декларация на рекламируемом сайте";"https://novostroy-m.ru"
"ЖК Новый Зеленоград";"+7 (495) 104-57-47";"sale@newzelenograd.ru";"От 2,1 млн руб без 1-го взноса – ЖК Новый Зеленоград";"Квартиры с ключами в день сделки. Ипотека от 14 000 руб./мес. Выгода 250 000 руб.!";"https://newzelenograd.ru"
"";"";"";"Квартиры от застройщика  – В Москве и области";"Новостройки от 2,1 млн руб. С отделкой и без. Развитая инфраструктура. Звоните!";"https://pik.ru"
"";"";"";"ЖК от застройщиков в Москве! – Выгодно. Удобно. Все здесь!";"Ищете квартиру в новостройке? Спецпредложения от застройщиков, рассрочка 0%Проектная декларация на рекламируемом сайте";"https://avaho.ru"
"";"";"";"Квартиры в Москве от 2 млн.руб. - Готовые новостройки!";"250 метров от метро! Льготные цены! ФЗ-214 Звоните!";"https://mosdom.su"
"";"";"";"Все застройщики Москвы и МО – Квартиры в новостройках";"Лучшие предложения от застройщиков на этой неделе на портале move.ruПроектная декларация на рекламируемом сайте";"https://move.ru"
"";"";"";"Квартиры от застройщика от 3,2 млн – Ипотека от 6%";"Рассрочка 0%. Новостройки в Новой Москве. Выдача ключей с 2019. Рядом с метро!";"https://a101.ru"
"";"";"";"Квартиры от застройщика от 1,3 млн р! - 5 минут до метро!";"Рассрочка 0%! 214-ФЗ! Скидки и акции! Продуманная инфраструктура!Проектная декларация на рекламируемом сайте";"https://msk.vnovoselie.ru"
"";"";"";"Готовые таунхаусы в Новой Москве! – За 5,71 млн. руб.";"Таунхаусы от 145 до 185 м2. Киевское шоссе. Рассрочка от застройщика. 22 км от МКАД.";"https://townhouse.ru"
"";"";"";"Квартиры от Хозяев и Застройщиков – Цены рухнули";"Единая база квартир. Купить квартиры в Москве и Подмосковье. Скидки и акцииПроектная декларация на рекламируемом сайте";"https://kvadroom.ru"
"АО ""Сити-XXI век""";"+7 (495) 241-57-14";"post@city-xxi.ru";"""Сити-XXI век"" заготовили на осень / kraski-zhizni-vidnoe.ru";"Купите квартиру в Видном со скидкой до 25% и переезжайте! Встречайте осень уютно!";"https://kraski-zhizni-vidnoe.ru"
"ООО ""Кристалл""";"+7 (800) 100-00-26";"manager@anapameteora.ru";"Каталог застройщиков Москва / poisk-novostroyki.ru";"Строительные компании Москвы и их новостройки. Акции и скидки на квартиры.Проектная декларация на рекламируемом сайте";"https://poisk-novostroyki.ru"
"ООО ""Кристалл""";"+7 (800) 100-00-26";"manager@anapameteora.ru";"Комплект заземления «ЭКСТРА-6Н» / elmast.com";"7 900 рублей за комплект заземления из нержавеющей стали. Склад в Москве.";"https://elmast.com"
"ООО ""Кристалл""";"+7 (800) 100-00-26";"manager@anapameteora.ru";"Квартиры от застройщика – Анапа! / anapameteora.ru";"ЖК Метеора - комфорт без %. Цены и планировки на сайте! 214-ФЗ. Звоните!";"https://anapameteora.ru"
"";"";"";"Стройкасса. Жилье молодой семье. / стройкасса.рф";"Квартира в рассрочку, без ипотеки и кредита.";"https://стройкасса.рф"
"";"";"";"Инициативным группам дольщиков! / nekrasoff.ru";"Правовой центр Олега Некрасова: реальная помощь пострадавшим дольщикам";"https://nekrasoff.ru"
"";"";"";"Квартиры от ГСК «Красстрой» / красстрой.рф";"Начните выбор с надежной компании! Удобный поиск. Красноярск. Квартиры от 1 млн.руб.";"https://красстрой.рф"
"";"";"";"Юридическая консультация в Москве / pravozona.ru";"Готовы помочь Вам решить Ваши проблемы. Консультация бесплатно. Звоните или пишите";"https://pravozona.ru"
"";"";"";"жк ""Кленовые Аллеи"", Новая Москва / vk.com";"Распродажа на выделенный объём квартир, метро ""Ватутинки"" через дорогу";"https://vk.com"
"";"";"";"По чем от застройщика в МСК и МО / move.su";"Продажа квартир в Москве и МО. Актуальные предложения от застройщиков!";"https://move.su"
"";"";"";"По чем от застройщика в МСК и МО / move.su";"Продажа квартир в Москве и МО. Актуальные предложения от застройщиков!";"https://move.su"
"";"";"";"ЖК ""Лучи"" ЛСР в Солнцево / luchi-lsr.site";"ЖК ""Лучи"" ЛСР в Солнцево. Квартиры с отделкой от 4.75 млн р. Открытие метро в сентябре.";"https://luchi-lsr.site"
"";"";"";"Список строительных компаний и застройщиков Москвы";"Все новостройки Москвы – планировки и цены на квартиры от застройщика!Проектная декларация на рекламируемом сайте";"https://msk-novostroyki.ru"
"";"";"";"Бальные танцы для детей в ЮАО / leninskij.dance-dynamo.ru";"Хочешь записаться на бальные танцы в ЮАО? Новый набор уже идет. Мы ждем тебя!";"https://leninskij.dance-dynamo.ru"
